image_path,folder_name,disease_id,disease_name,synonyms,treatment_name,active_substance,dosage_guidance,cautions,source_link
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_193.jpeg,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Oxytetracycline (feed),Oxytetracycline,25-37.5 mg/lb/day for 10 days via feed,Observe withdrawal periods; avoid overuse,https://aquaculture.ca.uky.edu/sites/aquaculture.ca.uky.edu/files/srac_478_aeromonas_bacterial_infections-motile_aeromonad_septicemia.pdf
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_193.jpeg,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Florfenicol,Florfenicol,Broad-spectrum antibiotic effective on Aeromonas,Veterinary use only; regulated,https://www.merckvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/bacterial-diseases-of-fish
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_193.jpeg,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Water Quality Improvement,-,"Increase oxygen, reduce stressors, clean tanks",Supportive measure; non-medicated,https://extension.msstate.edu/agriculture/catfish/diseases
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_194.png,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Oxytetracycline (feed),Oxytetracycline,25-37.5 mg/lb/day for 10 days via feed,Observe withdrawal periods; avoid overuse,https://aquaculture.ca.uky.edu/sites/aquaculture.ca.uky.edu/files/srac_478_aeromonas_bacterial_infections-motile_aeromonad_septicemia.pdf
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_194.png,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Florfenicol,Florfenicol,Broad-spectrum antibiotic effective on Aeromonas,Veterinary use only; regulated,https://www.merckvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/bacterial-diseases-of-fish
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_194.png,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Water Quality Improvement,-,"Increase oxygen, reduce stressors, clean tanks",Supportive measure; non-medicated,https://extension.msstate.edu/agriculture/catfish/diseases
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_195.jpeg,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Oxytetracycline (feed),Oxytetracycline,25-37.5 mg/lb/day for 10 days via feed,Observe withdrawal periods; avoid overuse,https://aquaculture.ca.uky.edu/sites/aquaculture.ca.uky.edu/files/srac_478_aeromonas_bacterial_infections-motile_aeromonad_septicemia.pdf
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_195.jpeg,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Florfenicol,Florfenicol,Broad-spectrum antibiotic effective on Aeromonas,Veterinary use only; regulated,https://www.merckvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/bacterial-diseases-of-fish
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_195.jpeg,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Water Quality Improvement,-,"Increase oxygen, reduce stressors, clean tanks",Supportive measure; non-medicated,https://extension.msstate.edu/agriculture/catfish/diseases
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_196.png,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Oxytetracycline (feed),Oxytetracycline,25-37.5 mg/lb/day for 10 days via feed,Observe withdrawal periods; avoid overuse,https://aquaculture.ca.uky.edu/sites/aquaculture.ca.uky.edu/files/srac_478_aeromonas_bacterial_infections-motile_aeromonad_septicemia.pdf
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_196.png,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Florfenicol,Florfenicol,Broad-spectrum antibiotic effective on Aeromonas,Veterinary use only; regulated,https://www.merckvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/bacterial-diseases-of-fish
dataset\train\bacterial_aeromoniasis\bacterial_diseases _aeromoniasis_196.png,bacterial_aeromoniasis,D004,Aeromoniasis,"Motile Aeromonad Septicemia, A. hydrophila infection, hemorrhagic septicemia",Water Quality Improvement,-,"Increase oxygen, reduce stressors, clean tanks",Supportive measure; non-medicated,https://extension.msstate.edu/agriculture/catfish/diseases
